Entity,Code,Year,Population density,Coord_X,Coord_Y
Albania,ALB,2025,101.14792,2810,2747
Andorra,AND,2025,176.32765,1767,2621
Austria,AUT,2025,110.44016,2468,2261
Belarus,BLR,2025,44.33387,3037,1725
Belgium,BEL,2025,388.32742,1981,2029
Bosnia and Herzegovina,BIH,2025,61.328945,2655,2497
Bulgaria,BGR,2025,61.850616,3068,2555
Croatia,HRV,2025,68.76535,2530,2484
Czechia,CZE,2025,137.44809,2471,2087
Denmark,DNK,2025,150.06165,2199,1631
Estonia,EST,2025,31.442806,2844,1381
Finland,FIN,2025,18.500809,2772,1074
France,FRA,2025,121.72387,1836,2327
Germany,DEU,2025,240.63374,2236,1989
Greece,GRC,2025,77.10478,2918,2827
Hungary,HUN,2025,105.54718,2700,2292
Iceland,ISL,2025,3.9494197,1350,782
Ireland,IRL,2025,77.050224,1426,1757
Italy,ITA,2025,200.00952,2509,2731
Latvia,LVA,2025,29.78483,2848,1490
Liechtenstein,LIE,2025,250.65625,2216,2302
Lithuania,LTU,2025,45.20206,2828,1620
Luxembourg,LUX,2025,264.28455,2043,2098
Malta,MLT,2025,1704.2219,2499,3137
Moldova,MDA,2025,90.872185,3178,2170
Monaco,MCO,2025,18385.316,2075,2565
Montenegro,MNE,2025,47.039406,2742,2600
Netherlands,NLD,2025,544.89996,2015,1926
North Macedonia,MKD,2025,71.916374,2895,2664
Norway,NOR,2025,15.43642,2192,1278
Poland,POL,2025,124.60265,2647,1894
Portugal,PRT,2025,113.65879,1168,2732
Romania,ROU,2025,82.182755,3018,2315
Russia,RUS,2025,8.7927265,3308,1420
San Marino,SMR,2025,559.23334,2360,2524
Serbia,SRB,2025,79.54561,2815,2479
Slovakia,SVK,2025,113.86912,2696,2146
Slovenia,SVN,2025,105.13389,2482,2378
Spain,ESP,2025,95.830956,1425,2801
Sweden,SWE,2025,26.165016,2402,1438
Switzerland,CHE,2025,226.96661,2137,2314
Ukraine,UKR,2025,67.277054,3282,1978
United Kingdom,GBR,2025,287.48517,1698,1869
Vatican,VAT,2025,1138.6364,2388,2688
