Entity,Code,Year,Population density,Coord_X,Coord_Y
Albania,ALB,1900,29.41511,2810,2747
Albania,ALB,1901,29.691204,2810,2747
Albania,ALB,1902,29.964817,2810,2747
Albania,ALB,1903,30.235804,2810,2747
Albania,ALB,1904,30.50927,2810,2747
Albania,ALB,1905,30.785183,2810,2747
Albania,ALB,1906,31.063614,2810,2747
Albania,ALB,1907,31.344563,2810,2747
Albania,ALB,1908,31.628065,2810,2747
Albania,ALB,1909,31.898394,2810,2747
Albania,ALB,1910,32.155365,2810,2747
Albania,ALB,1911,32.398685,2810,2747
Albania,ALB,1912,32.628212,2810,2747
Albania,ALB,1913,32.843685,2810,2747
Albania,ALB,1914,33.060547,2810,2747
Albania,ALB,1915,33.27887,2810,2747
Albania,ALB,1916,33.49861,2810,2747
Albania,ALB,1917,33.71982,2810,2747
Albania,ALB,1918,33.93719,2810,2747
Albania,ALB,1919,34.147663,2810,2747
Albania,ALB,1920,34.35113,2810,2747
Albania,ALB,1921,34.547554,2810,2747
Albania,ALB,1922,34.73679,2810,2747
Albania,ALB,1923,34.918797,2810,2747
Albania,ALB,1924,35.101753,2810,2747
Albania,ALB,1925,35.285694,2810,2747
Albania,ALB,1926,35.470547,2810,2747
Albania,ALB,1927,35.65642,2810,2747
Albania,ALB,1928,35.843212,2810,2747
Albania,ALB,1929,36.0677,2810,2747
Albania,ALB,1930,36.330437,2810,2747
Albania,ALB,1931,36.63197,2810,2747
Albania,ALB,1932,36.97288,2810,2747
Albania,ALB,1933,37.353832,2810,2747
Albania,ALB,1934,37.738686,2810,2747
Albania,ALB,1935,38.127518,2810,2747
Albania,ALB,1936,38.520367,2810,2747
Albania,ALB,1937,38.917263,2810,2747
Albania,ALB,1938,39.31821,2810,2747
Albania,ALB,1939,39.737812,2810,2747
Albania,ALB,1940,40.176388,2810,2747
Albania,ALB,1941,40.634342,2810,2747
Albania,ALB,1942,41.112007,2810,2747
Albania,ALB,1943,41.609818,2810,2747
Albania,ALB,1944,42.11365,2810,2747
Albania,ALB,1945,42.62361,2810,2747
Albania,ALB,1946,43.13971,2810,2747
Albania,ALB,1947,43.66208,2810,2747
Albania,ALB,1948,44.190765,2810,2747
Albania,ALB,1949,44.872955,2810,2747
Albania,ALB,1950,45.54033,2810,2747
Albania,ALB,1951,46.580658,2810,2747
Albania,ALB,1952,47.74876,2810,2747
Albania,ALB,1953,49.034233,2810,2747
Albania,ALB,1954,50.40292,2810,2747
Albania,ALB,1955,51.78102,2810,2747
Albania,ALB,1956,53.166897,2810,2747
Albania,ALB,1957,54.6677,2810,2747
Albania,ALB,1958,56.347664,2810,2747
Albania,ALB,1959,58.21106,2810,2747
Albania,ALB,1960,60.195145,2810,2747
Albania,ALB,1961,61.99825,2810,2747
Albania,ALB,1962,63.63836,2810,2747
Albania,ALB,1963,65.3739,2810,2747
Albania,ALB,1964,67.20438,2810,2747
Albania,ALB,1965,69.133575,2810,2747
Albania,ALB,1966,71.16766,2810,2747
Albania,ALB,1967,73.30201,2810,2747
Albania,ALB,1968,75.50336,2810,2747
Albania,ALB,1969,77.62193,2810,2747
Albania,ALB,1970,79.605255,2810,2747
Albania,ALB,1971,81.56726,2810,2747
Albania,ALB,1972,83.54803,2810,2747
Albania,ALB,1973,85.549416,2810,2747
Albania,ALB,1974,87.56756,2810,2747
Albania,ALB,1975,89.59201,2810,2747
Albania,ALB,1976,91.625656,2810,2747
Albania,ALB,1977,93.669785,2810,2747
Albania,ALB,1978,95.787155,2810,2747
Albania,ALB,1979,97.8592,2810,2747
Albania,ALB,1980,99.83121,2810,2747
Albania,ALB,1981,101.83854,2810,2747
Albania,ALB,1982,103.89949,2810,2747
Albania,ALB,1983,106.024925,2810,2747
Albania,ALB,1984,108.20825,2810,2747
Albania,ALB,1985,110.44518,2810,2747
Albania,ALB,1986,112.686676,2810,2747
Albania,ALB,1987,114.91967,2810,2747
Albania,ALB,1988,117.25832,2810,2747
Albania,ALB,1989,118.99,2810,2747
Albania,ALB,1990,119.63208,2810,2747
Albania,ALB,1991,119.8015,2810,2747
Albania,ALB,1992,119.79759,2810,2747
Albania,ALB,1993,119.62686,2810,2747
Albania,ALB,1994,119.31982,2810,2747
Albania,ALB,1995,118.92401,2810,2747
Albania,ALB,1996,118.45372,2810,2747
Albania,ALB,1997,117.86898,2810,2747
Albania,ALB,1998,117.15624,2810,2747
Albania,ALB,1999,116.37036,2810,2747
Albania,ALB,2000,115.55124,2810,2747
